timestamp_s,pred_class,soft_err,cte_px,for_spd,turn_spd,delta_turn_spd,off_line_prob,off_line
8.196,right,0.995,NaN,0.1759,0.3995,1.2286,0.0043,0
8.229,right,0.7147,NaN,0.2249,-1.0,83.9716,0.2638,0
8.26,off_line,0.3612,NaN,0.2868,-1.0,0.0,0.5904,0
8.294,off_line,0.3612,NaN,0.2868,0.1462,68.7748,0.5904,0
8.324,off_line,0.2964,NaN,0.05,0.0,8.7748,0.659,1
8.358,off_line,0.2949,NaN,0.05,0.0,0.0,0.6564,1
8.389,off_line,0.2949,NaN,0.05,0.0,0.0,0.6564,1
8.42,off_line,0.3207,NaN,0.05,0.0,0.0,0.6212,1
8.452,off_line,0.2422,NaN,0.05,0.0,0.0,0.6998,1
8.485,off_line,0.2422,NaN,0.05,0.0,0.0,0.6998,1
8.517,off_line,0.2351,NaN,0.05,0.0,0.0,0.7256,1
8.564,off_line,0.2737,NaN,0.05,0.0,0.0,0.6819,1
8.628,off_line,0.2737,NaN,0.05,0.0,0.0,0.6819,1
8.66,off_line,0.2404,NaN,0.05,0.0,0.0,0.7089,1
8.693,off_line,0.3026,NaN,0.05,0.0,0.0,0.6395,1
8.726,off_line,0.2244,NaN,0.05,0.0,0.0,0.7192,1
8.758,off_line,0.2319,NaN,0.05,0.0,0.0,0.7179,1
8.788,off_line,0.2319,NaN,0.05,0.0,0.0,0.7179,1
8.822,off_line,0.1889,NaN,0.05,0.0,0.0,0.7679,1
8.852,off_line,0.184,NaN,0.05,0.0,0.0,0.7734,1
8.884,off_line,0.184,NaN,0.05,0.0,0.0,0.7734,1
8.916,off_line,0.1738,NaN,0.05,0.0,0.0,0.7883,1
8.949,off_line,0.1827,NaN,0.05,0.0,0.0,0.7803,1
8.995,off_line,0.1827,NaN,0.05,0.0,0.0,0.7803,1
9.028,off_line,0.2022,NaN,0.05,0.0,0.0,0.7488,1
9.061,off_line,0.214,NaN,0.05,0.0,0.0,0.7398,1
9.092,off_line,0.2106,NaN,0.05,0.0,0.0,0.7367,1
9.126,off_line,0.2106,NaN,0.05,0.0,0.0,0.7367,1
9.156,off_line,0.2476,NaN,0.05,0.0,0.0,0.6987,1
9.19,off_line,0.2376,NaN,0.05,0.0,0.0,0.7159,1
9.22,off_line,0.2234,NaN,0.05,0.0,0.0,0.724,1
9.252,off_line,0.2161,NaN,0.05,0.0,0.0,0.731,1
9.286,off_line,0.1897,NaN,0.05,0.0,0.0,0.7641,1
9.316,off_line,0.1897,NaN,0.05,0.0,0.0,0.7641,1
9.364,off_line,0.1964,NaN,0.05,0.0,0.0,0.7562,1
9.397,off_line,0.1897,NaN,0.05,0.0,0.0,0.769,1
9.428,off_line,0.1508,NaN,0.05,0.0,0.0,0.8097,1
9.461,off_line,0.1508,NaN,0.05,0.0,0.0,0.8097,1
9.493,off_line,0.1761,NaN,0.05,0.0,0.0,0.7882,1
9.525,off_line,0.1718,NaN,0.05,0.0,0.0,0.7896,1
9.558,off_line,0.1718,NaN,0.05,0.0,0.0,0.7896,1
9.589,off_line,0.161,NaN,0.05,0.0,0.0,0.7933,1
9.622,off_line,0.1656,NaN,0.05,0.0,0.0,0.7875,1
9.653,off_line,0.1656,NaN,0.05,0.0,0.0,0.7875,1
9.684,off_line,0.174,NaN,0.05,0.0,0.0,0.7819,1
9.717,off_line,0.1755,NaN,0.05,0.0,0.0,0.7832,1
9.764,off_line,0.2051,NaN,0.05,0.0,0.0,0.7553,1
9.797,off_line,0.2188,NaN,0.05,0.0,0.0,0.7463,1
9.828,off_line,0.216,NaN,0.05,0.0,0.0,0.7434,1
9.86,off_line,0.216,NaN,0.05,0.0,0.0,0.7434,1
9.893,off_line,0.2145,NaN,0.05,0.0,0.0,0.7402,1
9.926,off_line,0.1701,NaN,0.05,0.0,0.0,0.7901,1
9.958,off_line,0.1701,NaN,0.05,0.0,0.0,0.7901,1
9.988,off_line,0.1972,NaN,0.05,0.0,0.0,0.7624,1
10.023,off_line,0.1992,NaN,0.05,0.0,0.0,0.7584,1
10.053,off_line,0.1992,NaN,0.05,0.0,0.0,0.7584,1
10.084,off_line,0.2132,NaN,0.05,0.0,0.0,0.7413,1
10.116,off_line,0.1919,NaN,0.05,0.0,0.0,0.7646,1
10.164,off_line,0.1919,NaN,0.05,0.0,0.0,0.7646,1
10.196,off_line,0.2073,NaN,0.05,0.0,0.0,0.755,1
10.229,off_line,0.2443,NaN,0.05,0.0,0.0,0.7064,1
10.261,off_line,0.2275,NaN,0.05,0.0,0.0,0.7238,1
10.324,off_line,0.2275,NaN,0.05,0.0,0.0,0.7238,1
10.356,off_line,0.244,NaN,0.05,0.0,0.0,0.7147,1
10.39,off_line,0.2718,NaN,0.05,0.0,0.0,0.684,1
10.42,off_line,0.2718,NaN,0.05,0.0,0.0,0.684,1
